Audit D,,,,,,,,,,,,,,,,,
experiment 1,,,,,,,average,,,,,,,,,,
,1000,3000,5000,7000,,,,,,,,,,,,,
reading,51,33,16,17,,,,,,,,,,,,,
extraction,1145,3092,5166,7060,,,,,,,,,,,,,
parsing,92,325,489,906,,,,,,,,,,,,,
compression,77,214,412,541,,,,,,,,,,,,,
uploading,1,2,2,2,,,,,,,,,,,,,
query execution,746,2046,2640,3479,,,,,,,,,,,,,
Total,2112,5712,8725,12005,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
auth,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
experiment 1,,,,,,,average,,,,,,,,,,
,1000,3000,5000,7000,,,,500,1000,3000,5000,,,500,1000,3000,5000
reading,15,,,,,,reading,12,0,0,0,,reading,0.85,#DIV/0!,#DIV/0!,#DIV/0!
extraction,550,,,,,,extraction,580.2,0,0,0,,extraction,40.87,#DIV/0!,#DIV/0!,#DIV/0!
parsing,42,,,,,,parsing,47.4,0,0,0,,parsing,3.34,#DIV/0!,#DIV/0!,#DIV/0!
compression,42,,,,,,compression,44,0,0,0,,compression,3.1,#DIV/0!,#DIV/0!,#DIV/0!
uploading,2,,,,,,uploading,1.6,0,0,0,,uploading,0.11,#DIV/0!,#DIV/0!,#DIV/0!
query execution,722,,,,,,query execution,734.4,0,0,0,,query execution,51.73,#DIV/0!,#DIV/0!,#DIV/0!
Total,1373,0,0,0,,,Total,1419.6,0,0,0,,Total,100,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,,,,,,,,,,,,,
experiment 2,,,,,,,,,,,,,,,,,
,1000,3000,5000,7000,,,,,,,,,,,,,
reading,14,,,,,,,,,,,,,,,,
extraction,577,,,,,,,,,,,,,,,,
parsing,49,,,,,,,,,,,,,,,,
compression,45,,,,,,,,,,,,,,,,
uploading,1,,,,,,,,,,,,,,,,
query execution,717,,,,,,,,,,,,,,,,
Total,1403,0,0,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
experiment 3,,,,,,,,,,,,,,,,,
,1000,3000,5000,7000,,,,,,,,,,,,,
reading,8,,,,,,,,,,,,,,,,
extraction,593,,,,,,,,,,,,,,,,
parsing,43,,,,,,,,,,,,,,,,
compression,43,,,,,,,,,,,,,,,,
uploading,2,,,,,,,,,,,,,,,,
query execution,739,,,,,,,,,,,,,,,,
Total,1428,0,0,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
experiment4,,,,,,,,,,,,,,,,,
,1000,3000,5000,7000,,,,,,,,,,,,,
reading,15,,,,,,,,,,,,,,,,
extraction,607,,,,,,,,,,,,,,,,
parsing,56,,,,,,,,,,,,,,,,
compression,46,,,,,,,,,,,,,,,,
uploading,1,,,,,,,,,,,,,,,,
query execution,735,,,,,,,,,,,,,,,,
Total,1460,0,0,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
experiment5,,,,,,,,,,,,,,,,,
,500,1000,3000,5000,,,,,,,,,,,,,
reading,8,,,,,,,,,,,,,,,,
